Site	Population	PopCode	Latitude	Longitude	Family	Seedling	Block	ID	H20	I15	I16	I17	I18	I19	I20	D15	D16	D17	D18	D19	T4-15	T5-15	T6-15	T4-16	T5-16	T6-16	T4-17	T5-17	T6-17	T4-18	T5-18	T6-18	T4-19	T5-19	T6-19	
GS	Beinn Eighe	BE	57.63	-5.35	BE4	10	A	BE4_10_A_GS	NA	40	25	35	NA	NA	NA	28	33	NA	NA	NA	14	35	22	9	32	33	15	28	NA	37	NA	NA	NA	NA	NA	
GS	Beinn Eighe	BE	57.63	-5.35	BE7	5	C	BE7_5_C_GS	2960	240	350	360	355	475	310	21	28	14	7	21	14	28	15	9	25	28	29	21	14	23	11	7	21	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE10	19	D	BE10_19_D_GS	2150	150	50	140	240	210	190	21	28	35	14	28	14	28	15	9	11	28	15	14	21	16	7	7	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE2	26	A	BE2_26_A_GS	2240	135	265	165	255	335	450	14	12	21	14	14	14	20	8	9	11	12	15	14	7	16	7	7	14	10	7	
GS	Beinn Eighe	BE	57.63	-5.35	BE8	5	B	BE8_5_B_GS	2620	245	305	320	360	270	260	28	26	30	21	21	14	35	22	16	25	33	20	21	21	16	7	14	14	17	14	
GS	Beinn Eighe	BE	57.63	-5.35	BE5	2	A	BE5_2_A_GS	3580	230	435	435	530	500	420	21	33	30	21	28	14	28	15	9	16	33	20	21	21	16	14	14	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE5	9	C	BE5_9_C_GS	2880	245	285	300	410	410	260	NA	NA	35	21	28	14	35	NA	9	25	NA	15	14	21	16	7	14	14	24	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE9	29	D	BE9_29_D_GS	2770	280	265	380	260	290	320	21	33	28	21	28	14	28	15	9	25	33	15	14	14	9	7	7	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE3	29	D	BE3_29_D_GS	2360	160	350	180	350	220	140	14	33	32	14	21	28	35	22	9	25	33	19	14	21	23	14	14	14	10	14	
GS	Beinn Eighe	BE	57.63	-5.35	BE3	22	B	BE3_22_B_GS	2350	200	175	295	310	270	350	NA	NA	37	21	21	28	35	NA	16	25	NA	20	21	28	23	14	21	21	24	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE8	15	C	BE8_15_C_GS	2450	220	285	235	310	290	330	21	33	30	21	28	14	25	15	9	25	33	20	14	21	16	14	14	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE3	10	C	BE3_10_C_GS	2470	195	265	290	360	340	150	28	28	28	21	14	0	14	8	9	11	28	8	14	7	9	7	7	14	10	7	
GS	Beinn Eighe	BE	57.63	-5.35	BE8	22	D	BE8_22_D_GS	3180	205	315	300	545	325	640	28	21	21	21	21	7	20	15	9	11	21	15	14	7	9	7	7	14	10	14	
GS	Beinn Eighe	BE	57.63	-5.35	BE5	5	B	BE5_5_B_GS	2770	195	355	300	310	410	300	28	NA	35	21	28	14	28	22	9	25	NA	15	14	21	16	7	14	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE7	26	D	BE7_26_D_GS	2990	155	310	415	NA	NA	370	28	28	21	21	21	7	28	15	9	16	28	15	14	7	9	7	7	14	10	14	
GS	Beinn Eighe	BE	57.63	-5.35	BE9	15	C	BE9_15_C_GS	2320	230	215	175	305	195	310	21	33	28	14	28	14	28	15	9	16	33	15	14	14	16	7	7	14	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE10	6	A	BE10_6_A_GS	3210	225	385	430	525	405	400	15	33	32	14	28	20	28	15	9	16	33	19	14	21	23	14	14	14	10	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE7	29	A	BE7_29_A_GS	2980	220	340	250	380	440	580	21	33	30	28	28	14	28	15	9	16	33	20	21	21	9	14	14	14	10	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE2	3	C	BE2_3_C_GS	2790	205	275	330	370	340	530	21	28	21	14	21	14	20	15	9	11	28	15	14	7	16	7	7	14	10	14	
GS	Beinn Eighe	BE	57.63	-5.35	BE2	15	D	BE2_15_D_GS	2520	145	230	275	290	420	460	21	21	23	14	21	14	28	15	9	16	21	20	14	14	16	7	7	21	17	21	
GS	Beinn Eighe	BE	57.63	-5.35	BE4	6	D	BE4_6_D_GS	2720	100	280	330	550	460	360	28	28	42	21	21	7	14	15	9	16	28	15	14	28	16	14	14	14	10	14	
