Genotype,D,H,I,T4,T5,T6
BE10_19_D_GS,0.598334554457257,-598.550973075946,-117.543729805951,0.195046200344902,0.0952086310687105,1.09225728417877
BE10_22_B_GS,-0.794793621301922,452.087269940367,54.2198560757475,-0.638671606777434,0.856581617220293,-0.75767406484878
BE10_6_A_GS,0.123073984122886,148.196249508865,42.3203295543662,1.33615484127118,-1.02009505403368,1.9066127352158
BE2_1_C_YA,-1.41726996996276,-563.867293604105,-62.2174305546736,3.61621355553095,3.12175718277479,1.20769253175352
BE2_11_B_YA,-0.34551463746417,-740.189121378231,-96.4455125722814,0.0499219283628306,1.06062252255469,-0.374311847215945
BE2_15_D_GS,-2.16713529294036,-211.892554103733,19.769873970266,1.92693693743872,0.801107309109755,-1.41206120284444
BE2_26_A_GS,-4.65202407600228,-803.79837788913,-51.2220886215533,-1.37487036019143,-4.00403820481157,-7.78251513272251
BE2_3_C_GS,-1.34824975663286,98.2989073366142,39.466824864611,-0.299582558446273,-3.14833932889006,-2.37688998357547
BE2_30_D_YA,-1.43072201441883,-1326.68681086041,-157.884771382379,2.29748917219042,0.63609399451024,-0.148923847026224
BE3_10_C_GS,0.0253835635631513,-224.319845852631,-23.3024454144639,-4.58866365082379,-4.00864333163209,-4.52338163058612
BE3_20_C_YA,0.478054839571234,560.80225928713,80.0219073712961,-1.94963708653365,-0.844041085635226,-1.20345634754341
BE3_22_B_GS,0.271501887146242,-382.004958064377,-34.76083633332,3.7456159559766,2.08320657602195,2.69425048690984
BE3_27_D_YA,2.21985468572308,700.07908798201,109.805562053556,-5.01524423603286,-2.17417470973186,-1.59313868169425
BE3_29_D_GS,-0.68320841077052,-360.256215283865,-53.8992697764167,3.99251061670349,3.07032194940802,2.71636105731786
BE4_10_A_GS,1.6304380635127,,-76.7274147066789,2.26062334249648,6.2116104577701,2.6382908241877
BE4_20_B_YA,0.850083887655839,-379.263402213241,29.6968683009605,-2.97191010736529,-2.56657123592207,-1.61630531534676
