Genotype,Envir,Latitude,Longitude,H,Lat,Lon,H_spats_residuals,H_spats_geno_pred_values,H_spats_adj_pheno
BE10_6_A_GS,GS_2020_A,57.63,-5.35,3210,57.63,-5.35,103.202555472739,1388.01410475182,1491.21666022456
BE2_26_A_GS,GS_2020_A,57.63,-5.35,2240,57.63,-5.35,-381.797444527263,903.014104751822,521.21666022456
BE5_2_A_GS,GS_2020_A,57.63,-5.35,3580,57.63,-5.35,288.20255547274,1573.01410475182,1861.21666022456
BE7_29_A_GS,GS_2020_A,57.63,-5.35,2980,57.63,-5.35,-11.7974445272612,1273.01410475182,1261.21666022456
GA1_6_A_GS,GS_2020_A,57.27,-4.92,2510,57.27,-4.92,115.572716278201,1400.38426555729,1515.95698183549
GA10_15_A_GS,GS_2020_A,57.27,-4.92,840,57.27,-4.92,-719.427283721798,565.384265557288,-154.043018164509
GA6_15_A_GS,GS_2020_A,57.27,-4.92,2420,57.27,-4.92,70.5727162782014,1355.38426555729,1425.95698183549
GA9_6_A_GS,GS_2020_A,57.27,-4.92,2500,57.27,-4.92,110.572716278201,1395.38426555729,1505.95698183549
GL1_26_A_GS,GS_2020_A,56.91,-5.13,2380,56.91,-5.13,35.4750625746055,1320.28661185369,1355.76167442829
GL2_2_A_GS,GS_2020_A,56.91,-5.13,2610,56.91,-5.13,150.475062574606,1435.28661185369,1585.76167442829
GL4_10_A_GS,GS_2020_A,56.91,-5.13,2810,56.91,-5.13,250.475062574606,1535.28661185369,1785.76167442829
GL5_6_A_GS,GS_2020_A,56.91,-5.13,2410,56.91,-5.13,50.4750625746055,1335.28661185369,1385.76167442829
GL6_2_A_GS,GS_2020_A,56.91,-5.13,2720,56.91,-5.13,205.475062574606,1490.28661185369,1695.76167442829
GL7_2_A_GS,GS_2020_A,56.91,-5.13,1600,56.91,-5.13,-354.524937425395,930.286611853688,575.761674428293
GL8_29_A_GS,GS_2020_A,56.91,-5.13,2120,56.91,-5.13,-94.5249374253954,1190.28661185369,1095.76167442829
GT1_22_A_GS,GS_2020_A,57.05,-2.86,1750,57.05,-2.86,-44.2404579342899,1240.57109134479,1196.3306334105
GT5_6_A_GS,GS_2020_A,57.05,-2.86,2040,57.05,-2.86,100.759542065711,1385.57109134479,1486.3306334105
GT7_5_A_GS,GS_2020_A,57.05,-2.86,1580,57.05,-2.86,-129.24045793429,1155.57109134479,1026.3306334105
