Genotype,Envir,Latitude,Longitude,I,Lat,Lon,I_spats_residuals,I_spats_geno_pred_values,I_spats_adj_pheno
BE10_6_A_GS,GS_2020_A,57.63,-5.35,400,57.63,-5.35,-31.2867847847335,-31.7839941032724,-63.0707788880058
BE2_26_A_GS,GS_2020_A,57.63,-5.35,450,57.63,-5.35,-6.28678478473324,-6.78399410327256,-13.0707788880058
BE5_2_A_GS,GS_2020_A,57.63,-5.35,420,57.63,-5.35,-21.2867847847334,-21.7839941032724,-43.0707788880058
BE7_29_A_GS,GS_2020_A,57.63,-5.35,580,57.63,-5.35,58.7132152152671,58.2160058967269,116.929221111994
GA1_6_A_GS,GS_2020_A,57.27,-4.92,410,57.27,-4.92,62.8991597514802,62.40195043294,125.30111018442
GA10_15_A_GS,GS_2020_A,57.27,-4.92,40,57.27,-4.92,-122.100840248522,-122.598049567058,-244.69888981558
GA6_15_A_GS,GS_2020_A,57.27,-4.92,250,57.27,-4.92,-17.1008402485205,-17.5980495670594,-34.6988898155799
GA9_6_A_GS,GS_2020_A,57.27,-4.92,380,57.27,-4.92,47.8991597514801,47.4019504329401,95.3011101844201
GL1_26_A_GS,GS_2020_A,56.91,-5.13,360,56.91,-5.13,23.0499884756243,22.552779157085,45.6027676327092
GL2_2_A_GS,GS_2020_A,56.91,-5.13,400,56.91,-5.13,43.0499884756244,42.5527791570848,85.6027676327092
GL4_10_A_GS,GS_2020_A,56.91,-5.13,370,56.91,-5.13,28.0499884756243,27.5527791570849,55.6027676327092
GL5_6_A_GS,GS_2020_A,56.91,-5.13,440,56.91,-5.13,63.0499884756245,62.5527791570846,125.602767632709
GL6_2_A_GS,GS_2020_A,56.91,-5.13,370,56.91,-5.13,28.0499884756243,27.5527791570849,55.6027676327092
GL7_2_A_GS,GS_2020_A,56.91,-5.13,90,56.91,-5.13,-111.950011524376,-112.447220842914,-224.39723236729
GL8_29_A_GS,GS_2020_A,56.91,-5.13,200,56.91,-5.13,-56.9500115243764,-57.4472208429144,-114.397232367291
GT1_22_A_GS,GS_2020_A,57.05,-2.86,140,57.05,-2.86,-35.7662443304587,-36.2634536489972,-72.0296979794559
GT5_6_A_GS,GS_2020_A,57.05,-2.86,260,57.05,-2.86,24.2337556695418,23.7365463510023,47.9703020205441
GT7_5_A_GS,GS_2020_A,57.05,-2.86,130,57.05,-2.86,-40.7662443304588,-41.2634536489971,-82.0296979794559
GT8_29_A_GS,GS_2020_A,57.05,-2.86,320,57.05,-2.86,54.2337556695424,53.7365463510021,107.970302020545
RD1_6_A_GS,GS_2020_A,57.89,-4.98,520,57.89,-4.98,133.421852708486,132.924643389945,266.34649609843
RD5_5_A_GS,GS_2020_A,57.89,-4.98,170,57.89,-4.98,-41.5781472915158,-42.075356610054,-83.6535039015698
RD7_29_A_GS,GS_2020_A,57.89,-4.98,90,57.89,-4.98,-81.5781472915162,-82.0753566100537,-163.65350390157
BE10_6_A_GS,GS_2015_A,57.63,-5.35,225,57.63,-5.35,27.4691141623819,230.313839908136,257.782954070518
BE2_26_A_GS,GS_2015_A,57.63,-5.35,135,57.63,-5.35,-17.530885837617,185.313839908135,167.782954070518
BE4_10_A_GS,GS_2015_A,57.63,-5.35,40,57.63,-5.35,-65.0308858376158,137.813839908134,72.7829540705182
BE5_2_A_GS,GS_2015_A,57.63,-5.35,230,57.63,-5.35,29.9691141623818,232.813839908136,262.782954070518
BE7_29_A_GS,GS_2015_A,57.63,-5.35,220,57.63,-5.35,24.9691141623819,227.813839908136,252.782954070518
GA1_6_A_GS,GS_2015_A,57.27,-4.92,155,57.27,-4.92,-13.2702044449522,189.5745213008,176.304316855848
GA6_15_A_GS,GS_2015_A,57.27,-4.92,170,57.27,-4.92,-5.77020444495238,197.074521300801,191.304316855848
GA9_6_A_GS,GS_2015_A,57.27,-4.92,160,57.27,-4.92,-10.7702044449523,192.074521300801,181.304316855848
GL1_26_A_GS,GS_2015_A,56.91,-5.13,130,56.91,-5.13,-24.6914313451114,178.15329440064,153.461863055529
GL2_2_A_GS,GS_2015_A,56.91,-5.13,285,56.91,-5.13,52.8085686548866,255.653294400642,308.461863055529
GL4_10_A_GS,GS_2015_A,56.91,-5.13,155,56.91,-5.13,-12.1914313451118,190.653294400641,178.461863055529
GL5_6_A_GS,GS_2015_A,56.91,-5.13,130,56.91,-5.13,-24.6914313451114,178.15329440064,153.461863055529
GL6_2_A_GS,GS_2015_A,56.91,-5.13,280,56.91,-5.13,50.3085686548867,253.153294400642,303.461863055529
GL7_2_A_GS,GS_2015_A,56.91,-5.13,150,56.91,-5.13,-14.6914313451117,188.153294400641,173.461863055529
GL8_29_A_GS,GS_2015_A,56.91,-5.13,160,56.91,-5.13,-9.69143134511182,193.153294400641,183.461863055529
GT1_22_A_GS,GS_2015_A,57.05,-2.86,115,57.05,-2.86,-12.0938212180965,190.750904527656,178.657083309559
GT5_6_A_GS,GS_2015_A,57.05,-2.86,90,57.05,-2.86,-24.5938212180962,178.250904527655,153.657083309559
GT7_5_A_GS,GS_2015_A,57.05,-2.86,140,57.05,-2.86,0.406178781903037,203.250904527656,203.657083309559
GT8_29_A_GS,GS_2015_A,57.05,-2.86,265,57.05,-2.86,62.9061787819015,265.750904527658,328.657083309559
GT9_9_A_GS,GS_2015_A,57.05,-2.86,90,57.05,-2.86,-24.5938212180962,178.250904527655,153.657083309559
RD1_6_A_GS,GS_2015_A,57.89,-4.98,225,57.89,-4.98,16.0913893430687,218.936115088823,235.027504431891
RD5_5_A_GS,GS_2015_A,57.89,-4.98,140,57.89,-4.98,-26.4086106569303,176.436115088822,150.027504431891
RD7_29_A_GS,GS_2015_A,57.89,-4.98,235,57.89,-4.98,21.0913893430686,223.936115088823,245.027504431891
BE10_6_A_GS,GS_2016_A,57.63,-5.35,385,57.63,-5.35,47.4540839062306,192.763367644976,240.217451551207
BE2_26_A_GS,GS_2016_A,57.63,-5.35,265,57.63,-5.35,-12.5459160937695,132.763367644976,120.217451551207
BE4_10_A_GS,GS_2016_A,57.63,-5.35,25,57.63,-5.35,-132.54591609377,12.7633676449764,-119.782548448793
BE5_2_A_GS,GS_2016_A,57.63,-5.35,435,57.63,-5.35,72.4540839062306,217.763367644976,290.217451551207
BE7_29_A_GS,GS_2016_A,57.63,-5.35,340,57.63,-5.35,24.9540839062306,170.263367644976,195.217451551207
GA1_6_A_GS,GS_2016_A,57.27,-4.92,185,57.27,-4.92,-14.2044058299358,131.10487790881,116.900472078874
GA10_15_A_GS,GS_2016_A,57.27,-4.92,100,57.27,-4.92,-56.7044058299358,88.6048779088101,31.9004720788743
GA6_15_A_GS,GS_2016_A,57.27,-4.92,265,57.27,-4.92,25.7955941700643,171.10487790881,196.900472078874
GA9_6_A_GS,GS_2016_A,57.27,-4.92,215,57.27,-4.92,0.795594170064277,146.10487790881,146.900472078874
GL1_26_A_GS,GS_2016_A,56.91,-5.13,195,56.91,-5.13,0.787242579701427,146.096526318447,146.883768898148
GL2_2_A_GS,GS_2016_A,56.91,-5.13,200,56.91,-5.13,3.28724257970143,148.596526318447,151.883768898148
GL4_10_A_GS,GS_2016_A,56.91,-5.13,290,56.91,-5.13,48.2872425797015,193.596526318447,241.883768898148
GL5_6_A_GS,GS_2016_A,56.91,-5.13,155,56.91,-5.13,-19.2127574202986,126.096526318447,106.883768898148
GL6_2_A_GS,GS_2016_A,56.91,-5.13,295,56.91,-5.13,50.7872425797015,196.096526318447,246.883768898148
GL7_2_A_GS,GS_2016_A,56.91,-5.13,195,56.91,-5.13,0.787242579701427,146.096526318447,146.883768898148
GL8_29_A_GS,GS_2016_A,56.91,-5.13,75,56.91,-5.13,-59.2127574202987,86.0965263184469,26.8837688981482
GT1_22_A_GS,GS_2016_A,57.05,-2.86,190,57.05,-2.86,0.603841257973301,145.913124996719,146.516966254692
GT5_6_A_GS,GS_2016_A,57.05,-2.86,165,57.05,-2.86,-11.8961587420268,133.413124996719,121.516966254692
GT7_5_A_GS,GS_2016_A,57.05,-2.86,190,57.05,-2.86,0.603841257973301,145.913124996719,146.516966254692
GT8_29_A_GS,GS_2016_A,57.05,-2.86,360,57.05,-2.86,85.6038412579735,230.913124996719,316.516966254693
GT9_9_A_GS,GS_2016_A,57.05,-2.86,45,57.05,-2.86,-71.8961587420269,73.4131249967193,1.51696625469242
RD1_6_A_GS,GS_2016_A,57.89,-4.98,290,57.89,-4.98,19.5057664803144,164.81505021906,184.320816699375
RD5_5_A_GS,GS_2016_A,57.89,-4.98,190,57.89,-4.98,-30.4942335196854,114.81505021906,84.3208166993749
RD7_29_A_GS,GS_2016_A,57.89,-4.98,305,57.89,-4.98,27.0057664803144,172.31505021906,199.320816699375
BE10_6_A_GS,GS_2017_A,57.63,-5.35,430,57.63,-5.35,83.398545644403,362.82758863832,446.226134282723
BE2_26_A_GS,GS_2017_A,57.63,-5.35,165,57.63,-5.35,-49.1014543555971,230.32758863832,181.226134282723
BE4_10_A_GS,GS_2017_A,57.63,-5.35,35,57.63,-5.35,-114.101454355597,165.32758863832,51.2261342827226
BE5_2_A_GS,GS_2017_A,57.63,-5.35,435,57.63,-5.35,85.898545644403,365.32758863832,451.226134282723
BE7_29_A_GS,GS_2017_A,57.63,-5.35,250,57.63,-5.35,-6.60145435559713,272.82758863832,266.226134282723
GA1_6_A_GS,GS_2017_A,57.27,-4.92,260,57.27,-4.92,-3.23060988137729,276.198433112539,272.967823231162
GA10_15_A_GS,GS_2017_A,57.27,-4.92,100,57.27,-4.92,-83.230609881378,196.198433112539,112.967823231161
GA6_15_A_GS,GS_2017_A,57.27,-4.92,275,57.27,-4.92,4.26939011862265,283.698433112539,287.967823231162
GA9_6_A_GS,GS_2017_A,57.27,-4.92,235,57.27,-4.92,-15.730609881378,263.698433112539,247.967823231161
GL1_26_A_GS,GS_2017_A,56.91,-5.13,265,56.91,-5.13,-1.59036953604272,277.838673457874,276.248303921832
GL2_2_A_GS,GS_2017_A,56.91,-5.13,180,56.91,-5.13,-44.0903695360427,235.338673457874,191.248303921832
GL4_10_A_GS,GS_2017_A,56.91,-5.13,320,56.91,-5.13,25.9096304639573,305.338673457874,331.248303921832
GL5_6_A_GS,GS_2017_A,56.91,-5.13,260,56.91,-5.13,-4.09036953604272,275.338673457874,271.248303921832
GL6_2_A_GS,GS_2017_A,56.91,-5.13,215,56.91,-5.13,-26.5903695360427,252.838673457874,226.248303921832
GL7_2_A_GS,GS_2017_A,56.91,-5.13,235,56.91,-5.13,-16.5903695360427,262.838673457874,246.248303921832
GL8_29_A_GS,GS_2017_A,56.91,-5.13,515,56.91,-5.13,123.409630463957,402.838673457874,526.248303921832
GT1_22_A_GS,GS_2017_A,57.05,-2.86,245,57.05,-2.86,11.8342233774437,291.26326637136,303.097489748804
GT5_6_A_GS,GS_2017_A,57.05,-2.86,285,57.05,-2.86,31.8342233774437,311.26326637136,343.097489748804
GT7_5_A_GS,GS_2017_A,57.05,-2.86,220,57.05,-2.86,-0.66577662255628,278.76326637136,278.097489748804
GT8_29_A_GS,GS_2017_A,57.05,-2.86,320,57.05,-2.86,49.3342233774436,328.76326637136,378.097489748804
GT9_9_A_GS,GS_2017_A,57.05,-2.86,50,57.05,-2.86,-85.6657766225564,193.763266371361,108.097489748804
RD1_6_A_GS,GS_2017_A,57.89,-4.98,465,57.89,-4.98,91.7970603895163,371.226103383433,463.023163772949
