Genotype,Envir,Latitude,Longitude,T6,Lat,Lon,T6_spats_residuals,T6_spats_geno_pred_values,T6_spats_adj_pheno
BE10_6_A_GS,GS_2015_A,57.63,-5.35,15,57.63,-5.35,-0.00103184916193833,14.0442360284051,14.0432041792432
BE2_26_A_GS,GS_2015_A,57.63,-5.35,8,57.63,-5.35,-3.50103184916191,10.5442360284051,7.04320417924318
BE4_10_A_GS,GS_2015_A,57.63,-5.35,22,57.63,-5.35,3.49896815083804,17.5442360284052,21.0432041792432
BE5_2_A_GS,GS_2015_A,57.63,-5.35,15,57.63,-5.35,-0.00103184916193833,14.0442360284051,14.0432041792432
BE7_29_A_GS,GS_2015_A,57.63,-5.35,15,57.63,-5.35,-0.00103184916193833,14.0442360284051,14.0432041792432
GA1_6_A_GS,GS_2015_A,57.27,-4.92,15,57.27,-4.92,-0.248981885833111,13.7962859917339,13.5473041059008
GA10_15_A_GS,GS_2015_A,57.27,-4.92,15,57.27,-4.92,-0.248981885833111,13.7962859917339,13.5473041059008
GA6_15_A_GS,GS_2015_A,57.27,-4.92,15,57.27,-4.92,-0.248981885833111,13.7962859917339,13.5473041059008
GA9_6_A_GS,GS_2015_A,57.27,-4.92,15,57.27,-4.92,-0.248981885833111,13.7962859917339,13.5473041059008
GL1_26_A_GS,GS_2015_A,56.91,-5.13,15,56.91,-5.13,-0.918101568559923,13.1271663090071,12.2090647404472
GL2_2_A_GS,GS_2015_A,56.91,-5.13,22,56.91,-5.13,2.58189843144007,16.6271663090072,19.2090647404472
GL4_10_A_GS,GS_2015_A,56.91,-5.13,15,56.91,-5.13,-0.918101568559923,13.1271663090071,12.2090647404472
GL5_6_A_GS,GS_2015_A,56.91,-5.13,15,56.91,-5.13,-0.918101568559923,13.1271663090071,12.2090647404472
GL6_2_A_GS,GS_2015_A,56.91,-5.13,15,56.91,-5.13,-0.918101568559923,13.1271663090071,12.2090647404472
GL7_2_A_GS,GS_2015_A,56.91,-5.13,22,56.91,-5.13,2.58189843144007,16.6271663090072,19.2090647404472
GL8_29_A_GS,GS_2015_A,56.91,-5.13,15,56.91,-5.13,-0.918101568559923,13.1271663090071,12.2090647404472
GT1_22_A_GS,GS_2015_A,57.05,-2.86,15,57.05,-2.86,0.813569819307457,14.8588376968745,15.672407516182
GT5_6_A_GS,GS_2015_A,57.05,-2.86,0,57.05,-2.86,-6.68643018069248,7.35883769687447,0.672407516181992
GT7_5_A_GS,GS_2015_A,57.05,-2.86,15,57.05,-2.86,0.813569819307457,14.8588376968745,15.672407516182
GT8_29_A_GS,GS_2015_A,57.05,-2.86,15,57.05,-2.86,0.813569819307457,14.8588376968745,15.672407516182
GT9_9_A_GS,GS_2015_A,57.05,-2.86,22,57.05,-2.86,4.31356981930741,18.3588376968746,22.672407516182
RD1_6_A_GS,GS_2015_A,57.89,-4.98,19,57.89,-4.98,2.61998289083854,16.6652507684056,19.2852336592442
RD5_5_A_GS,GS_2015_A,57.89,-4.98,15,57.89,-4.98,0.619982890838541,14.6652507684056,15.2852336592441
RD7_29_A_GS,GS_2015_A,57.89,-4.98,8,57.89,-4.98,-2.88001710916143,11.1652507684056,8.28523365924414
BE10_6_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.10385975507803,14.7055977823177,16.8094575373958
BE2_26_A_GS,GS_2016_A,57.63,-5.35,12,57.63,-5.35,-8.39614024492189,4.20559778231766,-4.19054246260423
BE4_10_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.10385975507803,14.7055977823177,16.8094575373958
BE5_2_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.10385975507803,14.7055977823177,16.8094575373958
BE7_29_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.10385975507803,14.7055977823177,16.8094575373958
GA1_6_A_GS,GS_2016_A,57.27,-4.92,28,57.27,-4.92,2.68134649317112,15.2830845204108,17.9644310135819
GA10_15_A_GS,GS_2016_A,57.27,-4.92,21,57.27,-4.92,-0.818653506828852,11.7830845204108,10.9644310135819
GA6_15_A_GS,GS_2016_A,57.27,-4.92,28,57.27,-4.92,2.68134649317112,15.2830845204108,17.9644310135819
GA9_6_A_GS,GS_2016_A,57.27,-4.92,21,57.27,-4.92,-0.818653506828852,11.7830845204108,10.9644310135819
GL1_26_A_GS,GS_2016_A,56.91,-5.13,12,56.91,-5.13,-5.8777794397388,6.72395858750081,0.846179147762005
GL2_2_A_GS,GS_2016_A,56.91,-5.13,28,56.91,-5.13,2.12222056026113,14.7239585875009,16.846179147762
GL4_10_A_GS,GS_2016_A,56.91,-5.13,28,56.91,-5.13,2.12222056026113,14.7239585875009,16.846179147762
